property_name,rent,rent_tax_classification,station_route,station_name,station_near,floor,size_in_tsubo,address,current_status,property_id,property_site,detail_link,detail_contact,image_src,first_published_date
誠心IIビル,"200,000",税抜,総武本線,馬喰町,3,1階,11.99,東京都千代田区東神田 1丁目12番地10号,,24-0209-019,テンポイノベーション,https://www.i-tenpo.com/t85045,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=upousSltczzaUO0cUdnv8lXXBr0A7P5mgSamFD944NvLlQZOCTAXsDmmo1yITtCdRpadcrt18Yup%2BaxMPe6NU0VZS59gcV1p6IlYoN21JdBNRpNvtzLWL8kdKT5OWWEFAtbuoNmgCK2tQYnW166LFQW77ta6lvI6PD8n2buwoyA%3D,2024-02-11
新興グランド社ビル,"440,000",税抜,埼京線,赤羽,8,2階-3階,26.66,東京都北区赤羽西 2丁目21番地1号,,24-0209-017,テンポイノベーション,https://www.i-tenpo.com/t85043,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=SQ8GN5MC3eSc5rzpdglJZ%2FB0wIda%2BhefRBUdxCeMP1YF6HbwuyKWomM6UpNjGcrUnEhkAuWxxDKh7MAPeOHrzIlgl4zuXWsnz9uSCs6TI6mwXfRiC%2BT8tulzroFZOZO%2FIRFqB%2BqOdGcBKmSE54kgimi56vMGOIwuD3WM9Y1MTVM%3D,2024-02-11
12KANDA,"630,000",税抜,山手線,秋葉原,5,1階,25.71,東京都千代田区神田須田町 2丁目3番地12号,,23-1120-003,テンポイノベーション,https://www.i-tenpo.com/t84091,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=%2FtaxKvJnqNbhwlwj7A%2B%2BQUW9%2BdOw3YXxpZ4Sa6PKsWMW%2Fm%2F9SxKh9Wa6Mn8Uv1Sa5iU8ZE1EaXd154Vrsnu65KfVSYr4ItWJiDvoiS4wdAwIgNRRijNkCFqKTvRhWRnD42mcS2rjzJEpodG26z08lwzQYiDd4w7D0fUxeCWA0xg%3D,2024-02-11
祐天寺2丁目古民家,"300,000",税抜,東急東横線,祐天寺,2,1階-2階,16.18,東京都目黒区祐天寺 2丁目3番地12号,イタリア料理,24-0209-014,テンポイノベーション,https://www.i-tenpo.com/t85040,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=Omu1scReaEiqtnTdtb1ilDbFODmlxilebWHvQpRa2G1%2FWJuZMIZviL6p6sxUQzfeyP%2BaiUbIW4pDm%2BLM36y7VncZXCNeBkwlLi90ZXIKANLv3jcAeNIdZdsPl6D1KWwA7Gl%2FgScFrEI%2B7Uqu%2Bul5ueeRe0DqUfi7rkfUONVB05g%3D,2024-02-11
元町プラザ 109,"270,000",税抜,みなとみらい線,元町・中華街,1,1階,11.48,神奈川県横浜市中区元町 1丁目13番地,,24-0209-015,テンポイノベーション,https://www.i-tenpo.com/t85041,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=eOzGg1XOM2354JqeiPBp2FhoZ6I%2FDvMIYeJREjuhABeruId2iHecwGqS47QYBBveJCawo9MCjp9byt72NcTSuxEVVm9h14ElfHYlEz8QJJkkSajZSxNkIhFUujBJae85XvPbeABsnEb4n8sNprHeAqGKOCiJl8eHXbMj1L2rPdc%3D,2024-02-11
大盛ビル 1階B区画,"600,000",税抜,東西線,浦安,1,1階,31.4,千葉県浦安市北栄 1丁目17番地17号,,24-0209-013,テンポイノベーション,https://www.i-tenpo.com/t85039,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=AxXayjBXYAZGBhVeyfG7qkkvS9yH%2F%2B69tmst39kxZQL1Q1gcdZiezKNTPure1num3FwrCnxxQq4EmkPlWamhF%2B2xWwnx0Ei10Bq08wbNjs6Gha6WCAW%2BNgapo%2FpFZgP40AV6X01ql%2FpSkSEH7vM43RvqmqhO9lQnAGlBE8dSP58%3D,2024-02-11
森ビル,"263,500",税抜,つくばエクスプレス,浅草,2,1階,7.54,東京都台東区浅草 2丁目14番地8号,,24-0126-008,テンポイノベーション,https://www.i-tenpo.com/t84856,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=20wFQZao%2BYuWBKAallGqwALtW1%2BdrCRG6lUOzewyBdZ5VqxpBhzIrqSZKNgJNHJmzLrWuYq7CkHyHiK43fq8NdASOeeQLXQwXYGc6LbPMnZaMBMobeXApZc21T7NCftHy23hcaSZVUbjwcCwvX6hexDmwoFMmwRmtyb33dvzAVA%3D,2024-02-11
与野駅貸店舗,"320,000",税抜,京浜東北・根岸線,与野,1,1階,7,埼玉県さいたま市浦和区上木崎 1丁目3番地31号,,24-0209-016,テンポイノベーション,https://www.i-tenpo.com/t85042,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=XP3qDIiCMRQ22kocKwZtKCxFDi612qT3amfqcrbB447iUh5T%2FuqJQTQhtLJdjg0%2F3xUqLh7BSmV0p0bvUhC9zr4FtIlwpD3cY6JBrAEyzu0Y4yu7b2YXef6rUKBjEVkk3kjG5EvTkDfsoi0nzeYkR7W959RA2zasuIhlp5icCKQ%3D,2024-02-11
船橋本町一丁目ビル,"1,015,170",税抜,京成本線,京成船橋,1,3階,53.43,千葉県船橋市本町 1丁目4番地23号,,24-0209-012,テンポイノベーション,https://www.i-tenpo.com/t85038,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=SObnBxOEnpJZQhuh7J1S7D0pqoadsQMUX1q8i0qiSnsrTnuQb6r%2BcEDIcgj%2FsGxle9vNnckIgZPr3CkW2tznK%2FHOnrlO%2BRyF45QdYk2tXwFNHxdqCxcB5IRPlGnyp63qpN933l151auYUIhWJfrLz5snD1QGKdknbtVMfTfD16E%3D,2024-02-11
青木園ビル,"470,000",税抜,東急田園都市線,三軒茶屋,2,1階-5階,31.97,東京都世田谷区太子堂 4丁目24番地15号,,24-0129-001,テンポイノベーション,https://www.i-tenpo.com/t84865,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=iTg3vkkz1j4dW1rD%2BTxF7U85LEN%2FM0J0tdMl6UQtdGO%2BXj22cc5%2F9m9vLG%2FNb8%2FelH%2F1JEfWsHSB25RGqRVbotlH%2BBC8SJRjixnUsQ2I1UCfOBrhgcMReqwPybJ2Mx4b%2FLycQ23okbIcu8NY4iY%2F1oHKaFgzH3oJtujfMMOr2ZI%3D,2024-02-11
