property_name,rent,rent_tax_classification,station_route,station_name,station_near,floor,size_in_tsubo,address,current_status,property_id,property_site,detail_link,detail_contact,image_src,first_published_date
神宮前三丁目SYビル（旧神宮前くらはしビル）,"605,000",税込,東京メトロ千代田線,明治神宮前〈原宿〉,8,１階,22.15,東京都渋谷区神宮前3-36-17,レンタル衣装店,372835,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372835,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372835_1,2024-02-11
ＷＨＡＲＦ渋谷道玄坂,"890,200",税込,京王井の頭線,神泉,2,１階,20.75,東京都渋谷区円山町7-5,新築,372834,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372834,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372834_1,2024-02-11
サンイースト辰巳,"1,098,130",税込,東京メトロ有楽町線,辰巳,7,２階,99.83,東京都江東区辰巳3-7-26,,372832,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372832,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372832_1,2024-02-11
島崎ビル,"658,086",税込,JR中央線(快速),吉祥寺,4,1階と地下１階,50.82,東京都武蔵野市御殿山1-5-5,カフェ,372839,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372839,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372839_1,2024-02-11
１２ＫＡＮＤＡ,"693,000",税込,JR山手線,秋葉原,5,１階,25.7,東京都千代田区神田須田町2-3-12,新築,372854,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372854,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372854_1,2024-02-11
フォーラム町田,"1,243,110",税込,JR横浜線,町田,3,６階,75.34,東京都町田市原町田6-21-26,,372853,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372853,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372853_1,2024-02-11
大橋ＴＫビル,"770,000",税込,東急田園都市線,池尻大橋,7,１階,19.3,東京都目黒区大橋2-16-25,,372852,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372852,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372852_1,2024-02-11
芝大門ビル,"707,000",税込,都営浅草線,大門（東京）,5,１階,18.54,東京都港区芝大門1-2-8,新築,372851,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372851,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372851_1,2024-02-11
ＮＩＣハイム西蒲田,"400,000",税込,JR京浜東北線,蒲田,5,1階と2階,23.51,東京都大田区西蒲田7-12-12,,372849,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372849,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372849_1,2024-02-11
,"352,000",税込,都営新宿線,大島（東京）,4,１階,16.09,東京都江東区大島7-1-2,新築,372862,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372862,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372862_1,2024-02-11
近藤ビル,"308,000",税込,京王新線,幡ヶ谷,1,１階,21.17,東京都渋谷区幡ケ谷2-8-5,倉庫,372850,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372850,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372850_1,2024-02-11
ハイシックハイム,"475,700",税込,日暮里・舎人ライナー,赤土小学校前,4,１階,51.7,東京都荒川区東尾久1-31-10,,372829,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372829,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372829_1,2024-02-11
メゾンモナミ,"297,000",税込,東急田園都市線,池尻大橋,6,１階,14.47,東京都世田谷区池尻3-19-17,,372837,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372837,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372837_1,2024-02-11
ラレーブ湯島,"440,000",税込,東京メトロ銀座線,上野広小路,2,地下１階,19.96,東京都文京区湯島3-39-5,,372838,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372838,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372838_1,2024-02-11
サンイースト辰巳,"517,550",税込,東京メトロ有楽町線,辰巳,7,２階,47.05,東京都江東区辰巳3-7-26,,372831,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372831,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372831_1,2024-02-11
,"363,000",税込,東急田園都市線,桜新町,21,１階,20.29,東京都世田谷区深沢5-8-6,,372836,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372836,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372836_1,2024-02-11
ＷＨＡＲＦ渋谷道玄坂,"788,400",税込,京王井の頭線,神泉,2,２階,21.08,東京都渋谷区円山町7-5,,372833,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372833,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372833_1,2024-02-11
八朗平ビル,"554,400",税込,東急田園都市線,南町田グランベリーパーク,5,２階,36.13,東京都町田市鶴間3-13-7,,372840,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372840,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372840_1,2024-02-11
ラカーサムレ,"330,000",税込,京王井の頭線,三鷹台,18,１階,23.09,東京都三鷹市牟礼6-13-27,,372828,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372828,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372828_1,2024-02-11
大和ビル,"696,500",税込,JR山手線,池袋,2,８階,30.14,東京都豊島区東池袋1-11-4,,372848,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372848,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372848_1,2024-02-11
浅草橋アバックビル,"506,000",税込,JR中央・総武線,浅草橋,1,３階,25.87,東京都台東区浅草橋1-18-10,,372843,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372843,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372843_1,2024-02-11
浅草橋アバックビル,"539,000",税込,JR中央・総武線,浅草橋,1,４階,27.46,東京都台東区浅草橋1-18-10,,372844,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372844,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372844_1,2024-02-11
ＬｕＬｕｄ　ＡＫＡＳＡＫＡ,"635,800",税込,東京メトロ銀座線,赤坂見附,2,３階,17.03,東京都港区赤坂3-10-6,,372847,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372847,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372847_1,2024-02-11
日興初台スカイマンション,"330,000",税込,京王新線,初台,7,１階,20.88,東京都渋谷区本町1-15-3,,372856,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372856,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372856_1,2024-02-11
子安町３丁目ビル,"275,000",税込,JR中央線(快速),八王子,4,１階,28.24,東京都八王子市子安町3-5-12,,372845,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372845,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372845_1,2024-02-11
リッツ椚田,"250,000",税込,京王高尾線,めじろ台,10,１階,46.28,東京都八王子市椚田町592-17,,372855,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372855,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372855_1,2024-02-11
,"715,000",税込,JR常磐線(上野～取手),北千住,3,２階,44.84,東京都足立区千住旭町35-19,,372857,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372857,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372857_1,2024-02-11
七海ビル,"770,000",税込,東京メトロ有楽町線,平和台（東京）,1,１階,38.36,東京都練馬区平和台4-25-12,,372880,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372880,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372880_1,2024-02-11
第２２ＳＹビル,"592,680",税込,東京メトロ千代田線,代々木公園,1,５階,44.89,東京都渋谷区富ケ谷1-3-8,,372858,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372858,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372858_1,2024-02-11
五光ビル,"275,000",税込,JR山手線,池袋,1,１階,2.59,東京都豊島区西池袋1-18-1,巻き爪治療院,372767,イリサーチ,https://www.iri-search.nethttps://www.iri-search.net/estate_search/detail?id=372767,詳細リンクより問い合わせください,https://www.iri-search.nethttps://www.iri-search.net/img_get/?d=photo&draft_num=372767_1,2024-02-11
