property_name,rent,rent_tax_classification,station_route,station_name,station_near,floor,size_in_tsubo,address,current_status,property_id,property_site,detail_link,detail_contact,image_src,first_published_date
【飲食居抜美装】譲渡費用なし・その他業種適宜確認いたします,"682,000",(税込),京王井の頭線,永福町,10,1,35.9,東京都杉並区和泉三丁目59-20,そば・うどん・麺類,112201,テンポスマート,https://www.temposmart.jp/estates/112201,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=f333766f-d0e2-4e2c-b028-5de53ff15b34,https://thumbnail.temposmart.jp/thumbnail/public/estates/112201/images/17075725308364Otl3Ntawx00PS5GOVcL6Pwpzx3.jpg.webp,2024-02-11
自由が丘3分　路面店舗,"770,000",(税込),東急東横線,自由が丘,3,1,20.35,東京都目黒区自由が丘一丁目3-13,カフェ,112196,テンポスマート,https://www.temposmart.jp/estates/112196,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=b7052cdf-a6a0-43fd-bf32-17ae26b097d4,https://www.temposmart.jp/assets/tenant/images/img_estate_item_noimage_medium.jpg,2024-02-11
笹塚駅 徒歩7分 飲食可能物件 【業種相談】担当：加藤,"165,000",(税込),京王線,笹塚,7,1〜2,11.67,東京都渋谷区笹塚三丁目,飲食(その他),112186,テンポスマート,https://www.temposmart.jp/estates/112186,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=02305ab0-43fb-4501-bb05-97c21a573b93,https://www.temposmart.jp/assets/tenant/images/img_estate_item_noimage_medium.jpg,2024-02-11
【先行募集・居抜き相談可】駅徒歩１分の商業施設の区画の募集です！相場よりお安めで採光や眺望も◎窓面も広くとられてます！,0,,東京メトロ千代田線,明治神宮前〈原宿〉,1,8,67.37,東京都渋谷区神宮前六丁目,レストラン,108956,テンポスマート,https://www.temposmart.jp/estates/108956,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=8dbbaac6-5657-47bd-b16e-6effeec339ef,https://thumbnail.temposmart.jp/thumbnail/public/estates/108956/images/17045432298935H5oJhtIXr3Lnw6TpIrj8wTa7YR.JPG.webp,2024-02-11
浅草駅 徒歩7分 現況:カフェ 飲食居抜き物件 【重飲食可】,"252,062",(税込),都営浅草線,浅草,7,1,13.89,東京都台東区浅草四丁目15,カフェ,112168,テンポスマート,https://www.temposmart.jp/estates/112168,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=7fb9640d-3ab6-4406-b923-f0cdbf62369b,https://thumbnail.temposmart.jp/thumbnail/public/estates/112168/images/17075234165607wUNL67k2cObD5Z07d7swYTQOtV.png.webp,2024-02-11
麻布十番駅 徒歩2分 現況:飲食(その他) 飲食居抜き物件 【何業も可】/担当：横井,"1,595,000",(税込),東京メトロ南北線,麻布十番,2,8〜9,63.12,東京都港区麻布十番二丁目,飲食(その他),112161,テンポスマート,https://www.temposmart.jp/estates/112161,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=3627ad2d-397a-4066-8672-3e3df10e28cc,https://www.temposmart.jp/assets/tenant/images/img_estate_item_noimage_medium.jpg,2024-02-11
錦糸町駅 徒歩6分現況:クラブ・キャバクラ 飲食居抜き物件 【業種相談】/担当：横井,"220,000",(税込),東京メトロ半蔵門線,錦糸町,6,4,8.69,東京都墨田区江東橋四丁目,クラブ・キャバクラ,112159,テンポスマート,https://www.temposmart.jp/estates/112159,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=ef5702e3-69a7-42ad-95e2-bb8c5e3cfb6a,https://www.temposmart.jp/assets/tenant/images/img_estate_item_noimage_medium.jpg,2024-02-11
門前仲町駅 徒歩1分 現況:居酒屋 飲食居抜き物件,"660,000",(税込),東京メトロ東西線,門前仲町,1,1,17,東京都江東区門前仲町一丁目3-5,居酒屋,112158,テンポスマート,https://www.temposmart.jp/estates/112158,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=de3a8ef5-9b58-42d4-a645-b5166d14ba95,https://thumbnail.temposmart.jp/thumbnail/public/estates/112158/images/170747094873021VwDa5nDFZQqOz1RyJk4wIf1ba.png.webp,2024-02-11
■神保町駅徒歩3分の1階路面店物件です！【カレー屋居抜き】,"363,000",(税込),東京メトロ半蔵門線,神保町,3,1,19.4,東京都千代田区西神田二丁目4-3,飲食(その他),112155,テンポスマート,https://www.temposmart.jp/estates/112155,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=c80c08f9-d1e0-4d45-937b-6b6d1ab5b27c,https://thumbnail.temposmart.jp/thumbnail/public/estates/112155/images/17074669570213WR9Z9Acqyw6dxByyU5igsl0Rlr.png.webp,2024-02-11
地下鉄「赤坂見附駅」徒歩１分！人気の赤坂エリア☆ガールズバー居抜き物件です！,"373,680",(税込),東京メトロ銀座線,赤坂見附,1,4,15.47,東京都港区赤坂三丁目9-8,バー,112146,テンポスマート,https://www.temposmart.jp/estates/112146,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=7e4e56cd-5575-4720-91b1-a7759a624bfb,https://thumbnail.temposmart.jp/thumbnail/public/estates/112146/images/17074595438006iTPhU96Dp4InAex9AOraItpLu4.jpg.webp,2024-02-11
本川越駅 徒歩2分 現況:居酒屋 飲食居抜き物件 【飲食可】,"500,980",(税込),西武新宿線,本川越,2,1,29.71,埼玉県川越市新富町一丁目11-2,居酒屋,112137,テンポスマート,https://www.temposmart.jp/estates/112137,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=36e92567-fd00-451d-a953-6eea0d1e4f83,https://thumbnail.temposmart.jp/thumbnail/public/estates/112137/images/170745522436606xdhiB4feRhs6reJj36KxX3muZ.JPG.webp,2024-02-11
蔵前駅より徒歩1分、飲食店舗居ぬき物件！,"275,000",(税込),都営大江戸線,蔵前,1,1,16.33,東京都台東区蔵前二丁目18,そば・うどん・麺類,112095,テンポスマート,https://www.temposmart.jp/estates/112095,https://www.temposmart.jp/estate-inquiries/create?estate_uuids=6c73f70d-d7db-49b7-972e-513a6fd2b3a4,https://www.temposmart.jp/assets/tenant/images/img_estate_item_noimage_medium.jpg,2024-02-11
